1.0623,1.0904,1.1038,0.98921,0.99518,0.99557,0.99546,3.8222,4.3378
1.7812,1.7838,1.7899,0.98246,0.99234,0.99258,0.99257,6.6222,7.2444
0.9559,0.93005,0.92143,0.99108,0.99597,0.99602,0.99612,3.3156,3.6444
1.9585,1.9797,1.9453,0.98121,0.99164,0.99184,0.99175,7.8622,8.2222
1.8287,1.9242,1.7916,0.98176,0.99203,0.99238,0.99198,5.3733,6.4
1.1384,1.1311,1.1377,0.98951,0.99539,0.99526,0.99529,4.5467,4.7022
0.718,0.72982,0.59315,0.98857,0.99635,0.99701,0.99696,2.6844,2.6089
1.0173,0.99592,1.0387,0.98771,0.99568,0.99576,0.99585,5.2089,5.2178
0.31315,0.32331,0.24925,0.9922,0.99847,0.9987,0.99865,0.81333,0.91556
2.0779,2.0577,1.9792,0.9801,0.99138,0.99134,0.99143,6.7378,7.1111
0.90313,0.98119,0.95877,0.9895,0.99594,0.99624,0.99591,2.6622,2.9733
0.92129,0.96385,0.83111,0.98767,0.99597,0.99616,0.99598,3.1067,3.2489
1.0199,1.1121,0.94748,0.98831,0.99606,0.99575,0.99537,2.7289,3.0978
1.4905,1.542,1.5042,0.9865,0.99392,0.99379,0.99358,7.7689,7.6356
1.2526,1.2768,1.2028,0.98858,0.99521,0.99478,0.99468,6.4444,6.3378
1.2292,1.2775,1.1673,0.98776,0.99516,0.99488,0.99468,2.3467,2.8311
0.75607,0.76276,0.74253,0.99206,0.997,0.99685,0.99682,2.5156,2.6889
1.7258,1.763,1.6787,0.98359,0.99287,0.99281,0.99265,5.4311,6.3689
1.0415,1.0713,1.0395,0.99034,0.99578,0.99566,0.99554,3.2978,3.7733
1.0467,1.0904,1.0117,0.98834,0.99579,0.99564,0.99546,3.1822,3.5422
1.3556,1.3686,1.3339,0.98653,0.99423,0.99435,0.9943,4.7778,5.0311
0.46021,0.48366,0.4377,0.99269,0.99831,0.99808,0.99798,1.5511,1.6978
0.57094,0.60327,0.53323,0.98907,0.99727,0.99762,0.99749,1.5733,1.6267
1.2941,1.3114,1.3096,0.98579,0.99427,0.99461,0.99454,5.1022,5.3378
0.95244,0.96558,0.96746,0.99065,0.99591,0.99603,0.99598,3.0089,3.5778
0.97493,1.0037,0.97267,0.98784,0.99564,0.99594,0.99582,2.6844,3.12
1.109,1.1043,1.1099,0.98915,0.99538,0.99538,0.9954,4.6578,4.8311
1.4291,1.5116,1.4086,0.98373,0.99334,0.99405,0.9937,3.6267,4.4311
1.3653,1.5067,1.4428,0.9844,0.99457,0.99431,0.99372,2.1822,2.6178
1.1289,1.1294,1.1438,0.98957,0.99538,0.9953,0.99529,3.8356,4.3867
1.0986,1.1069,1.0934,0.98984,0.99564,0.99542,0.99539,3.1867,3.6711
1.1056,1.0887,1.0882,0.99038,0.99564,0.99539,0.99546,3.8622,4.2933
1.8166,1.8514,1.8255,0.98252,0.99231,0.99243,0.99229,6.5867,7.2667
1.5813,1.5827,1.545,0.98533,0.9937,0.99341,0.99341,6.16,6.4622
2.1298,2.1583,2.0721,0.98049,0.99111,0.99113,0.99101,7.44,8.1867
1.3486,1.3643,1.3478,0.98732,0.99432,0.99438,0.99432,5.3378,5.8578
1.103,1.2065,1.1203,0.98835,0.99532,0.9954,0.99497,2.7556,3.4311
1.3054,1.3123,1.3018,0.98699,0.99436,0.99456,0.99453,4.1289,4.68
1.1194,1.158,1.1021,0.98897,0.99517,0.99534,0.99517,3.4489,3.8533
1.3452,1.4076,1.3366,0.98674,0.99471,0.9944,0.99413,3.3556,4.28
1.4827,1.5186,1.5207,0.98387,0.99394,0.99382,0.99367,4.2089,4.8044
0.43686,0.45419,0.49676,0.99165,0.99829,0.99818,0.99811,2.2844,2.2444
0.89448,0.92398,0.87627,0.99157,0.99627,0.99627,0.99615,2.64,3.0489
0.97579,0.93265,0.95096,0.98878,0.99606,0.99593,0.99611,5.0444,5.0622
1.1791,1.2161,1.1854,0.98852,0.99497,0.99509,0.99493,4.0667,4.4711
0.60814,0.60934,0.69216,0.99263,0.99725,0.99747,0.99746,2.2356,2.6267
1.1263,1.1719,1.0109,0.98765,0.99469,0.99531,0.99512,3.3867,3.7422
0.58565,0.66655,0.6661,0.98963,0.9977,0.99756,0.99722,1.3822,1.72
1.5926,1.6581,1.6527,0.98309,0.99315,0.99336,0.99309,5.2,5.9378
1.0969,1.1459,1.0951,0.98893,0.99555,0.99543,0.99523,4.1067,4.3289
